SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0377,40.8634047,-76.7741425,4.63,850,46,18.47826087,0.054117647
NLA06608-0378,47.5571677,-112.4475051,2.54,223,9,24.77777778,0.040358744
NLA06608-0384,48.7160644,-103.1433201,51.51,4291,68,63.10294118,0.015847122
NLA06608-0385,48.24355,-112.8672712,25.52,1834,51,35.96078431,0.02780807
NLA06608-0386,40.4915755,-78.4606619,1.39,475,9,52.77777778,0.018947368
NLA06608-0388,36.6816499,-83.704948,1.4,60,2,31.66666667,0.031578947
NLA06608-0393,37.8944447,-120.5721188,1.75,101,8,12.625,0.079207921
NLA06608-0395,33.0978039,-86.4800643,4.04,231,13,17.76923077,0.056277056
NLA06608-0399,42.4230422,-83.9967011,14.26,586,13,45.07692308,0.0221843
NLA06608-0401,47.1778426,-68.2314003,4.39,279,10,27.9,0.035842294
NLA06608-0402,42.8897489,-124.0780934,6.12,1657,136,11.84611743,0.084415844
NLA06608-0403,47.3959543,-94.5618385,5.64,485,20,24.25,0.041237113
NLA06608-0405,41.9713728,-75.8794845,3.31,458,16,28.625,0.034934498
NLA06608-0406,45.1803812,-121.7044304,2.34,172,4,43,0.023255814
NLA06608-0407,45.0933556,-97.7543842,26.01,2872,762,3.769028871,0.265320334
NLA06608-0408,34.3688218,-97.2818327,2.29,270,15,18,0.055555556
NLA06608-0413,36.5605718,-77.7454141,7.34,581,106,5.481132075,0.182444062
NLA06608-0414,46.1318006,-91.6104565,27.44,1296,40,32.4,0.030864198
NLA06608-0418,42.7698256,-71.9999278,3.34,296,8,37,0.027027027
NLA06608-0421,43.095043,-73.7667433,2.6,537,9,59.66666667,0.016759777
NLA06608-0425,38.6023118,-111.8406157,7,1433,234,6.123931624,0.163293789
NLA06608-0426,43.8382238,-85.0738813,6.2,574,5,114.8,0.008710801
NLA06608-0432,34.720922,-90.0717,3.88,644,218,2.95412844,0.338509317
NLA06608-0433,44.5225114,-73.292627,2.77,422,7,60.28571429,0.016587678
NLA06608-0435,45.1682657,-90.6981382,17.78,1824,78,23.38461538,0.042763158
NLA06608-0436,34.4519776,-92.9382529,3.12,398,29,13.72413793,0.072864322
NLA06608-0439,45.6434979,-99.2311106,66.98,19200,1056,18.18181818,0.055
NLA06608-0440,36.2389426,-97.3481023,4.85,853,182,4.686813187,0.213364596
NLA06608-0442,48.2861019,-101.9047579,67.34,6559,385,17.03636364,0.058697972
NLA06608-0444,34.1657892,-89.9116161,3.72,383,42,9.119047619,0.109660574
NLA06608-0445,40.0407566,-81.0154886,3.54,336,15,22.4,0.044642857
NLA06608-0447,38.4796138,-82.8760354,2.48,79,3,26.33333333,0.037974684
NLA06608-0449,48.1358037,-117.6915241,2.81,404,16,25.25,0.03960396
NLA06608-0452,39.8068455,-105.0360311,5.32,604,37,16.32432432,0.061258278
NLA06608-0453,28.5733236,-81.7702539,19.64,1056,48,22,0.045454545
NLA06608-0454,41.9709889,-71.1989894,4.88,367,16,22.9375,0.04359673
NLA06608-0456,33.063257,-96.4758381,5.11,681,29,23.48275862,0.042584435
NLA06608-0458,31.163782,-83.5418964,10.56,947,39,24.28205128,0.041182682
NLA06608-0459,34.2269109,-86.8423449,3.66,200,8,25,0.04
NLA06608-0462,46.1990633,-89.293977,2.17,194,3,64.66666667,0.015463918
NLA06608-0463,42.2117641,-83.5209821,6.91,1031,82,12.57317073,0.079534433
NLA06608-0467,43.5459215,-89.3644564,6.22,788,15,52.53333333,0.019035533
NLA06608-0468,39.4324094,-106.6003635,1.24,179,8,22.375,0.044692737
NLA06608-0469,41.9097341,-75.3378393,2.41,191,11,17.36363636,0.057591623
NLA06608-0470,43.623088,-71.2654292,4.15,193,8,24.125,0.041450777
NLA06608-0471,45.4401574,-97.2623188,7.87,839,24,34.95833333,0.028605483
NLA06608-0472,34.5706114,-96.2383568,9.57,803,78,10.29487179,0.097135741
NLA06608-0473,35.5162948,-80.2033846,3.09,714,55,12.98181818,0.077030812
NLA06608-0479,39.9206178,-83.0042548,3.08,318,14,22.71428571,0.044025157
NLA06608-0480,37.9943376,-90.542139,2.77,213,3.5,61.33333334,0.016304348
NLA06608-0483,29.4914702,-101.1563449,2.93,461,4,115.25,0.00867679
NLA06608-0484,36.3106781,-88.4898179,5.41,1519,190,7.994736842,0.125082291
NLA06608-0488,37.1924901,-95.9867253,7.85,1070,162,6.604938272,0.151401869
NLA06608-0489,38.4936321,-78.0076252,11.7,1275,107,11.91588785,0.083921569
NLA06608-0491,41.413144,-85.734175,7,665,16,41.5625,0.02406015
NLA06608-0493,38.7712489,-77.6455552,3.48,353,15,23.53333333,0.042492918
NLA06608-0494,46.8221905,-94.5335402,5.02,401,4,100.25,0.009975062
NLA06608-0495,38.4468179,-107.4380582,2.26,136,11,12.36363636,0.080882353
NLA06608-0496,48.7517132,-108.0524686,41.92,4372,620,7.051612903,0.141811528
NLA06608-0497,42.1076527,-111.8159376,1.44,156,17,9.176470588,0.108974359
NLA06608-0498,41.9509552,-71.9513309,3.66,820,44,18.63636364,0.053658537
NLA06608-0500,34.2145297,-94.2146709,2.51,266,21,12.66666667,0.078947368
NLA06608-0501,37.9463519,-122.6247455,3.05,182,6,30.33333333,0.032967033
NLA06608-0502,42.8273138,-83.7469401,7.37,648,5,129.6,0.007716049
NLA06608-0503,43.5747743,-97.0587349,17.18,5916,430,13.75813953,0.072684246
NLA06608-0508,33.8586211,-90.5420987,6.91,756,283,2.671378092,0.374338624
NLA06608-0509,40.4616335,-79.5674543,2,821,4,205.25,0.004872107
NLA06608-0510,48.2477538,-98.8914836,16.28,2916,165,17.67272727,0.056584362
NLA06608-0511,38.2255509,-107.5377617,1.14,112,13,8.615384615,0.116071429
NLA06608-0512,48.9243478,-100.3053493,27.8,2447,61,40.1147541,0.024928484
NLA06608-0514,40.3574093,-78.1190735,2.36,1009,7,144.1428571,0.006937562
NLA06608-0515,46.0279301,-98.9448475,26.13,4984,335,14.87761194,0.067215088
NLA06608-0523,43.9236897,-96.9510362,11.03,1738,115,15.11304348,0.066168009
NLA06608-0526,47.9485009,-91.3929614,14.15,651,17,38.29411765,0.026113671
