SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NWCA16-2737,41.82857,-70.74415,38.6,1.72,106,0.044559585,22.44186071
NWCA16-2739,42.0627,-70.67451,8.11,0.866,82,0.106781751,9.364896067
NWCA16-2740,41.7083,-70.24979,5.35,0.415,30,0.077570093,12.89156634
NWCA16-2741,41.8384,-70.74106,8.05,0.488,190,0.060621118,16.49590164
NWCA16-2743,41.35939,-70.56624,80.1,6.17,210,0.077028714,12.98217182
NWCA16-2744,41.98655,-71.30001,5.98,0.423,46,0.070735786,14.13711583
NWCA16-2747,42.62759,-70.68714,7.41,0.739,38,0.099730094,10.02706365
NWCA16-2786,38.242235,-75.8091,40,2.595,95,0.06827769,14.64607264
NWCA16-2787,38.452219,-75.982368,42.6,2.7,42,0.063380282,15.7777777
NWCA16-2788,38.40994,-76.082625,20.9,1.415,56,0.068305124,14.6401902
NWCA16-2789,38.16513,-75.18,19.6,2.49,56,0.127040816,7.871485964
NWCA16-2790,38.45161,-75.98088,14.2,1.11,28,0.078169014,12.79279281
NWCA16-2795,39.57032,-79.25431,12.2,0.343,31,0.028114754,35.56851324
NWCA16-2798,38.42335,-76.16382,58.6,6.8,110,0.116040956,8.617647031
NWCA16-2799,39.31967,-77.31915,4.2,7.7,242,1.833333333,0.545454546
NWCA16-2840,45.978375,-70.14913,17.92,5.2035,35,0.234632739,4.261979825
NWCA16-2841,44.42965,-68.01252,10.2,0.77,30,0.075490196,13.24675326
NWCA16-2843,45.48397,-69.20203,1.57,0.878,22,0.559235669,1.788154897
NWCA16-2848,43.39224,-70.44171,8.5,0.901,26,0.106,9.433962264
NWCA16-2850,44.8181,-66.98684,2.53,0.35,52,0.138339921,7.228571426
NWCA16-2852,43.39298,-70.44158,24.2,1.87,52,0.077272727,12.94117652
NWCA16-2868,41.79005,-85.69176,21.3,2.62,206,0.123004695,8.129770982
NWCA16-2870,42.968025,-85.598105,23.05,1.815,525,0.079038387,12.65208014
NWCA16-2872,44.51121,-84.91886,18.7,0.991,70,0.052994652,18.8698286
NWCA16-2874,42.96201,-82.65101,9.66,1.27,120,0.131469979,7.60629923
NWCA16-2885,43.35272,-84.047771,21.9,3.61,740,0.164840183,6.066481982
NWCA16-2889,43.63737,-84.06245,21.2,1.59,346,0.075,13.33333333
NWCA16-3057,39.68636,-94.889605,8.505,2.2,597,0.439982736,2.272816452
NWCA16-3058,39.41285,-91.80974,2.78,0.369,118,0.132733813,7.533875336
NWCA16-3060,39.83549,-91.88826,10,2.82,560,0.282,3.546099291
NWCA16-3061,37.81797,-91.17463,1.44,0.498,54,0.345833333,2.891566268
NWCA16-3094,37.17112,-90.12008,7.77,3.11,118,0.4002574,2.498392285
NWCA16-3139,30.419545,-88.56142,9.055,4.2285,26.5,0.554179773,1.804468602
NWCA16-3140,32.825233,-90.874249,39.3,2.06,250,0.052417303,19.07766983
NWCA16-3141,30.39471,-88.58897,16.9,0.15,105,0.00887574,112.6666622
NWCA16-3147,30.37188,-88.83449,6.33,0.286,NA,0.045181675,22.13286692
NWCA16-3148,31.38406,-88.59344,25.1,4.34,42,0.172908367,5.783410123
NWCA16-3151,30.41713,-88.58273,10.6,0.62,27,0.058490566,17.0967742
NWCA16-3152,32.10888,-89.27706,34.3,1.14,43,0.033236152,30.08771894
NWCA16-3153,32.34723,-90.08198,32.9,1.78,1200,0.054103343,18.48314623
NWCA16-3155,30.27555,-89.39535,27.4,0.6,55,0.02189781,45.66666712
NWCA16-3160,30.96927,-88.74311,8.42,1.055,160,0.125296912,7.981042661
NWCA16-3161,33.29922,-88.81639,14.6,1.25,149,0.085616438,11.68000005
