SITE_ID,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA17_IN_10109,2.37,0,10.43,0
NLA17_IN_10120,11.25,0,52.0875,0
NLA17_IN_10122,6.15,0,97.70125,0
NLA17_IN_10123,5.67,0,46.03375,0
NLA17_IN_10125,11.05,0,303.07375,0
NLA17_IN_10126,5.87,0,57.5175,0
NLA17_IN_10129,7.98,1.3734,36.99875,0.037120173
NLA17_IN_10132,5.8,0,35.07625,0
NLA17_IN_10133,4.18,0,14.315,0
NLA17_IN_10134,3.19,2.9109,76.21625,0.038192643
NLA17_IN_10136,4.19,0,40.2075,0
NLA17_IN_10138,3.49,0,21.4475,0
NLA17_IN_10139,6.47,0,222.2225,0
NLA17_IN_10140,4.85,0,28.41375,0
NLA17_IN_10141,7.81,0.0033,17.405,0.000189601
NLA17_IN_10142,7.33,0.0105,102.07,0.000102871
NLA17_IN_10161,4.79,0,11.3475,0
NLA17_IN_10171,9.36,0,244.5375,0
NLA17_IN_10173,6.36,0.0021,129.33875,1.62364E-05
NLA17_IN_10175,9.78,0.2236,17.19875,0.013000945
NLA17_KS_10001,8.085,1.2456,501.9725,0.002481411
NLA17_KS_10002,6.68,0,85.93875,0
NLA17_KS_10003,3.56,0.0021,27.16125,7.7316E-05
NLA17_KS_10004,5.37,0,153.62625,0
NLA17_KS_10005,6.805,0,67.00625,0
NLA17_KS_10006,5.5,0.1394,118.22875,0.00117907
NLA17_KS_10007,3.69,0.0016,14.0125,0.000114184
NLA17_KS_10010,5.81,0,38.42,0
NLA17_KS_10011,6.17,0,49.4225,0
NLA17_KS_10025,7.82,0.3052,146.7975,0.002079054
NLA17_KS_10028,7.65,3.302,99.48,0.033192602
NLA17_KS_10033,9.54,0.205,557.58875,0.000367654
NLA17_KS_10034,5.2,0,17.9125,0
NLA17_KS_10035,8.01,5.00E-04,429.58,1.16393E-06
NLA17_KS_10041,3.41,1.00E-04,22.6925,4.40674E-06
NLA17_KS_HP001,3.33,0,35.99,0
NLA17_KS_HP002,3.88,0,17.45625,0
NLA17_KS_HP003,7.37,0.0074,35.5175,0.000208348
NLA17_KY_10001,1.635,4.00E-04,7.186875,5.5657E-05
NLA17_KY_10002,2.61,0,9.94125,0
NLA17_KY_10003,12.155,0.0029,469.308125,6.17931E-06
NLA17_KY_10004,5.19,6.00E-04,196.64375,3.0512E-06
NLA17_KY_10006,3.33,0.0022,16.17625,0.000136002
NLA17_KY_10017,5.38,0,28.745,0
NLA17_KY_10023,4.53,0,11.0875,0
NLA17_KY_10024,2.8,0.003,8.94625,0.000335336
NLA17_KY_10027,6.96,0,35.195,0
NLA17_LA_10001,5.37,0,112.078125,0
NLA17_LA_10002,6.02,5.00E-04,38.23625,1.30766E-05
NLA17_LA_10004,5.775,0.1634,151.64375,0.001077525
NLA17_LA_10006,5.33,0.0298,79.6075,0.000374337
NLA17_LA_10007,4.48,0,236.06125,0
NLA17_LA_10015,6.23,0.0022,99.93,2.20154E-05
NLA17_LA_10018,10.91,0,251.98,0
NLA17_LA_10024,4.59,0.0011,41.8425,2.62891E-05
NLA17_LA_10046,4.79,0,102.77625,0
NLA17_LA_10075,6.07,4.00E-04,66.84,5.98444E-06
NLA17_LA_10108,5.32,0,41.6625,0
NLA17_LA_10155,4.74,0.0022,46.7775,4.70312E-05
NLA17_LA_10231,6.01,0.0018,166.4225,1.08158E-05
NLA17_LA_10303,7.51,0,66.3125,0
NLA17_MA_10001,2.55,0,12.55,0
NLA17_MA_10002,5.89,0.0175,29.745,0.000588334
NLA17_MA_10003,5.08,1.00E-04,23.155,4.31872E-06
NLA17_MA_10004,6.31,1.00E-04,18.23,5.48546E-06
NLA17_MA_10005,2.52,0,8.23375,0
NLA17_MA_10007,4.41,0.0276,19.205,0.001437126
NLA17_MA_10017,11.32,1.00E-04,280.43875,3.56584E-07
NLA17_MA_10018,5.14,3.00E-04,23.545,1.27416E-05
NLA17_MA_10019,3.13,0,8.4975,0
NLA17_MA_10022,4.79,1.00E-04,12.25125,8.16243E-06
NLA17_MA_HP001,8.52,4.00E-04,15.29875,2.61459E-05
NLA17_MD_10001,3.525,0.00105,4.315625,0.000243302
NLA17_MD_10002,2.08,0.2894,7.7675,0.037257805
NLA17_MD_10003,4.26,0.73355,45.565625,0.016098759
NLA17_MD_10004,11.32,0.1642,133.015,0.001234447
NLA17_MD_10015,6.7,6.00E-04,20.0825,2.98768E-05
NLA17_MD_10026,2.4,0.38,9.41125,0.040377208
NLA17_MD_10034,4.38,0.0646,58.1925,0.001110109
NLA17_MD_10038,8.41,8.00E-04,436.71125,1.83187E-06
NLA17_ME_10001,4.125,0.00015,6.355,2.36035E-05
NLA17_ME_10002,2.98,0,3.315,0
NLA17_ME_10003,6.01,0,6.46,0
NLA17_ME_10004,8.12,0,28.675,0
NLA17_ME_10006,2.44,9.00E-04,4.36875,0.000206009
NLA17_ME_10007,7.105,3.00E-04,13.4225,2.23505E-05
