UniqueLakeName,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,pH,TPtoTN
L8208,60.25,37.66667,NA,NA,NA,NA,NA,NA
L8209,60.21,-96.14,0.0036,0.276,0.0071,40.63291139,7.2,0.024610592
L8211,60.27,-95.62,0.0053,0.291,0.0054,38.87323944,7.5,0.025724638
L8213,60.355,22.20833,NA,0.2,0.12,NA,NA,NA
L8215,60.44,-95.69,0.0027,0.221,0.0052,53.88888889,7.3,0.018556701
L8216,60.45,-95.7,0.0178,0.604,0.0094,42.5,7.1,0.023529412
L8217,60.45139,22.39528,NA,0.4,0.03,NA,NA,NA
L8222,60.87,31.51,NA,NA,NA,NA,NA,NA
L8223,61.01666,22.28333,NA,NA,0.02,NA,NA,NA
L8224,61.066,25.133,NA,1.337,0.011,42.1875,NA,0.023703704
L8225,61.1,24.966,NA,0.741,0.018,121.5454545,NA,0.008227375
L8226,61.159175,24.25083167,0.00925,NA,0.024,NA,7.59,NA
L8227,61.15,-94.12,0.0045,0.486,0.0143,64.25531915,7.6,0.015562914
L8228,61.24,-94.19,0.0043,0.354,0.0046,33.98601399,8.4,0.029423868
L8229,61.24,-94.11,0.0026,0.217,0.0072,76.95652174,7.1,0.01299435
L8230,61.25,-94.16,0.0084,0.827,0.015,30.13888889,8.2,0.033179724
L8231,61.25,-94.14,0.0064,0.516,0.0122,55.13333333,7,0.018137848
L8232,61.25,-94.12,0.00915,0.721,0.0143,NA,8,NA
L8233,61.25256,25.78702,NA,NA,0.027,NA,NA,NA
L8234,61.26,-94.18,0.0081,0.527,0.0078,50.41958042,8.3,0.019833564
L8235,61.26,-94.15,0.0113,0.9405,0.0117,67.56410256,6.4,0.014800759
L8236,61.26,-94.14,0.0047,0.617,0.0134,80.38461538,7.3,0.012440191
L8237,61.27,-94.24,0.0047,0.379,0.0057,46.04477612,7.8,0.02171799
L8238,61.27,-94.23,0.0108,0.817,0.0122,66.49122807,7.7,0.015039578
L8239,61.28,-94.32,0.004,0.381,0.0065,66.96721311,7.1,0.014932681
L8240,61.28,-94.27,0.0042,0.327,0.0057,58.61538462,8.5,0.017060367
L8241,61.28,-94.23,0.0052,0.439,0.0073,57.36842105,8.4,0.017431193
L8242,61.28,-94.11,0.0113,0.811,0.0128,60.1369863,6.8,0.016628702
L8243,61.29,-94.38,0.0052,0.469,0.0098,NA,7.1,NA
L8244,61.29,-94.35,0.0071,0.521,0.0078,47.85714286,7.4,0.020895522
L8245,61.29,-94.13,0.004,0.376,0.0086,66.79487179,7.8,0.014971209
L8246,61.31,-94.18,0.0053,0.326,0.0086,43.72093023,7.5,0.02287234
L8247,61.32,-94.49,0.0064,0.717,0.015,37.90697674,7.9,0.026380368
L8248,61.32,-94.47,0.0072,0.527,0.0111,47.8,8,0.020920502
L8249,61.32,-94.46,0.0026,0.312,0.0064,47.47747748,8.6,0.021062619
L8250,61.53,-145.4,NA,0.28,0.033,NA,8.3,NA
L8251,62.207775,25.7775625,NA,0.8,0.025,NA,NA,NA
L8252,61.7019,28.9016,NA,NA,NA,NA,NA,NA
L8254,61.9031,28.7907,NA,NA,NA,NA,NA,NA
L8255,62.07,-146.03,NA,0.66,0.019,8.484848485,7.9,0.117857143
L8256,62.08,-146.05,NA,0.45,0.024,34.73684211,7.7,0.028787879
L8257,62.1,28.4667,NA,NA,NA,NA,NA,NA
L8258,62.12474,25.56039,NA,0.6,0.08,NA,NA,NA
L8260,62.1508,29.3893,NA,NA,NA,NA,NA,NA
L8261,62.18833,21.43889,NA,0.4,0.02,NA,NA,NA
L8262,62.2,-146.3,NA,0.28,0.013,18.75,7.2,0.053333333
L8264,62.2667,29.4,NA,NA,NA,NA,NA,NA
L8265,62.31778,21.38028,NA,0.3,0.03,NA,NA,NA
L8267,62.37,-142,NA,0.11,0.015,21.53846154,6.8,0.046428571
L8268,62.5272,29.7078,NA,NA,NA,NA,NA,NA
L8269,62.55,-145.33,NA,0.18,0.017,7.333333333,7.2,0.136363636
L8270,62.63294,26.41107,NA,NA,0.006,NA,NA,NA
L8272,62.8333,27.75,NA,NA,NA,NA,NA,NA
L8273,62.84,-92.22,0.0054,0.458,0.0081,48.75,8.1,0.020512821
L8274,62.84,-92.18,0.0099,0.694,0.0073,56.54320988,8.1,0.01768559
L8275,62.85,-92.25,0.0035,0.438,0.009,95.06849315,7.2,0.010518732
L8276,62.86,-92.29,0.004,0.392,0.0102,NA,7.3,NA
L8277,62.86,-92.23,0.0174,0.374,0.0102,38.43137255,7.8,0.026020408
L8278,62.87,-92.25,0.0048,0.362,0.0077,36.66666667,7.6,0.027272727
L8279,62.87,-92.21,0.0033,0.309,0.0053,47.01298701,7,0.021270718
L8280,62.87,-92.19,0.0097,0.705,0.0094,58.30188679,8.2,0.017152104
L8281,62.87,-92.18,0.0066,0.583,0.0146,75,7.8,0.013333333
L8282,62.87,-92.17,0.0034,0.294,0.0055,39.93150685,7.3,0.025042882
L8283,62.89,-92.2,0.0065,0.407,0.0072,53.45454545,8.3,0.018707483
L8284,62.89,-92.18,0.0034,0.356,0.0092,56.52777778,8.2,0.017690418
