"SITE_ID","DOC_Median","NO3_Median","TN_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"NRS18_MT_10107",0.81,0.0989,0.161,10.855,0.014831875,0.009111009
"NRS18_MT_10108",28.45,0.0523,2.438,85.45,0.028531305,0.000612054
"NRS18_MT_10112",3.19,0.0442,0.414,41.154,0.010059775,0.001074015
"NRS18_MT_10113",8.08,0.0013,0.491,105.024,0.004675122,1.23781e-05
"NRS18_MT_10114",4.02,0,0.315,83.054,0.003792713,0
"NRS18_MT_10117",1.44,0.0033,0.128,9.403,0.013612677,0.000350952
"NRS18_MT_10120",1.6,0.023,0.133,21.145,0.006289903,0.001087728
"NRS18_MT_10270",0.36,0.013,0.033,9.889,0.003337041,0.001314592
"NRS18_MT_10272",1.19,0.0109,0.053,13.689,0.003871722,0.00079626
"NRS18_MT_10274",1.07,0.0029,0.076,6.321,0.012023414,0.000458788
"NRS18_MT_10421",1.2,0.0437,0.134,29.88,0.004484605,0.001462517
"NRS18_MT_10589",6.71,0,0.534,44.206,0.012079808,0
"NRS18_MT_10592",1.93,0.3734,0.621,46.408,0.013381314,0.008046027
"NRS18_MT_10593",14.42,0,1.081,113.129,0.009555463,0
"NRS18_MT_10603",0.83,0.0031,0.071,6.465,0.010982212,0.000479505
"NRS18_MT_11020",9.83,0.0169,1.085,218.71,0.004960907,7.72713e-05
"NRS18_MT_11320",1.27,0.3094,0.453,15.705,0.028844317,0.019700732
"NRS18_MT_11470",5.33,0,0.651,190.03,0.003425775,0
"NRS18_MT_11621",1.65,0.0023,0.156,19.404,0.008039579,0.000118532
"NRS18_NC_10001",5.59,11.46045,12.4,1516.6,0.008126389,0.0075408895
"NRS18_NC_10002",9.62,0.07845,1.023,105.427,0.009576651,0.0008171767
"NRS18_NC_10003",1.45,0.2016,0.354,38.939,0.009091143,0.005177329
"NRS18_NC_10006",2.52,0.1309,0.37,22.875,0.016174863,0.005722404
"NRS18_NC_10007",1.14,0.6473,0.944,106.444,0.008868513,0.006081132
"NRS18_NC_10008",8.12,0.6299,1.118,123.328,0.009065257,0.005107518
"NRS18_NC_10009",13.12,0.16815,0.779,74.5105,0.0107188745,0.0024538985
"NRS18_NC_10010",1.585,0.20955,0.3975,24.962,0.017237626,0.0091068725
"NRS18_NC_10012",7.64,0.0336,0.663,54.648,0.012132191,0.000614844
"NRS18_NC_10014",1.6,NA,1,54,0.018518519,0
"NRS18_NC_10016",4.68,0.0042,0.41,22.489,0.018231135,0.000186758
"NRS18_NC_10017",0.71,0.086,0.141,20.688,0.006815545,0.004156999
"NRS18_NC_10020",9.8,NA,0.73,70,0.010428571,0
"NRS18_NC_10023",0.8,NA,0.3,9,0.033333333,0
"NRS18_NC_10026",5.02,0.552,0.91,100.25,0.009077307,0.005506234
"NRS18_NC_10027",5.23,0.3182,0.856,80.336,0.010655248,0.003960864
"NRS18_NC_10030",12.1,NA,1.12,84,0.013333333,0
"NRS18_NC_10032",0.47,0.1427,0.203,16.303,0.012451696,0.00875299
