SITE_ID,Lat,Lon,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA12_WI_173,43.60640518,-90.09230591,4,NA,86,NA
NLA12_WI_174,46.25445969,-89.84834363,12,NA,27,NA
NLA12_WI_176,45.41937109,-87.91729236,6.3,NA,10,NA
NLA12_WI_179,45.80478692,-89.71210018,4.1,NA,9,NA
NLA12_WI_181,44.07085734,-87.73427579,11,NA,24,NA
NLA12_WI_183,46.17950483,-90.98648796,3.8,NA,9,NA
NLA12_WI_188,42.73179781,-88.94241893,18,NA,217,NA
NLA12_WI_R06,46.13856683,-89.55280909,7.46,0.001,19,5.26E-05
NLA12_WI_R08,44.98525558,-88.71706451,5.05,0.019,24,0.000791667
NLA12_WI_R11,45.24419324,-88.70016387,8.12,0.019,36,0.000527778
NLA12_WI_R12,46.05021865,-89.86417404,5.36,0,23,0
NLA12_WI_R13,45.98604436,-89.80657406,5.24,0.002,17,0.000117647
NLA12_WV_101,39.46941047,-79.49872597,2.14,0.002,8,0.00025
NLA12_WV_102,38.8217063,-80.58970118,1.67,0.01,16,0.000625
NLA12_WV_105,38.36552067,-81.25277547,2.3,0.003,36,8.33E-05
NLA12_WV_106,38.94576507,-80.42780497,2.25,0,14,0
NLA12_WV_111,39.51588788,-80.4100598,2.76,0.002,11,0.000181818
NLA12_WV_112,38.83710051,-82.12452034,4.685,0.001,89.5,1.12E-05
NLA12_WV_113,38.49141175,-79.31478115,2.4,0.002,26,7.69E-05
NLA12_WV_115,39.13365249,-78.59720705,3.1,0.002,14,0.000142857
NLA12_WV_R01,37.97490526,-80.95380017,1.91,0.002,7,0.000285714
NLA12_WY_101,44.78618159,-109.2581674,1.595,0.004,25,0.00016
NLA12_WY_102,45.26371788,-108.0421145,3.69,0.013,82,0.000158537
NLA12_WY_103,42.94833295,-109.8038839,1.11,0.002,12,0.000166667
NLA12_WY_104,44.4786195,-106.7522443,3.09,0.002,15,0.000133333
NLA12_WY_105,42.27144044,-109.4346462,3.5,0.005,52,9.62E-05
NLA12_WY_107,41.12628679,-104.6433761,9.76,0.237,1528,0.000155105
NLA12_WY_115,41.15233931,-110.8249531,6.8,0.004,51,7.84E-05
NLA12_WY_116,42.80153184,-109.4608964,6.32,0,31,0
NLA12_WY_117,42.73351246,-109.0932442,0.77,0.003,15,0.0002
NLA12_WY_120,43.29630511,-109.845187,0.76,0.043,18,0.002388889
NLA12_WY_124,43.89903221,-110.6733784,1.605,0.0025,42,5.95E-05
NLA12_WY_125,43.16510906,-109.8031724,1.12,0.006,29,0.000206897
NLA12_WY_130,42.54705507,-107.1498507,18.93,0.002,44,4.55E-05
NLA12_WY_131,41.94495085,-110.6568886,2.46,0.002,36,5.56E-05
NLA12_WY_133,42.71197472,-109.1788711,0.51,0,14,0
NLA12_WY_135,41.51119946,-105.4171502,4.89,0.008,64,0.000125
NLA12_WY_137,44.78132376,-109.2547289,3.76,0.002,33,6.06E-05
NLA12_WY_147,42.04937237,-110.0809239,3.47,0.002,36,5.56E-05
NLA12_WY_151,41.20465089,-106.2591701,4.4,0.003,30,0.0001
NLA12_WY_R01,43.64344358,-110.7963554,0.98,0.003,9,0.000333333
NLA12_WY_R02,42.99621976,-109.888709,2.79,0.002,12,0.000166667
NLA12_WY_R04,44.49478161,-110.4302646,11.2,0.002,34,5.88E-05
NLA12_WY_R08,41.36491157,-106.3458452,1.65,0,7,0
