"SITE_ID","Lat","Lon","DOC_Median","NO3_Median","TP_Median","NO3toTP_Median"
"OHS9_0921",40.01636,-83.25297,5.21,2.73,153,0.017843137
"OHS9_0922",39.97946,-82.38165,3.68,2.62,360,0.007277778
"OHS9_0923",40.75689,-82.11641,10.52,0.179,215,0.000832558
"OHSS_1122",41.02658,-82.78515,21.18,2.298,421,0.005458432
"OHSS_1123",41.39327,-84.29579,5,5.632,43,0.130976744
"OHSS_1124",40.31965,-84.63034,8.42,23.538,441,0.05337415
"OHSS_1125",39.57122,-84.66835,1.53,4.925,91,0.054120879
"OHSS_1127",41.38763,-81.26877,7.53,0.115,89,0.001292135
"OKLS_1176",34.06699,-94.90529,3.74,0.003,40.4,7.43e-05
"OKLS_1181",35.14815,-94.7019,4.49,0.019,70,0.000271429
"OKLS_1182",34.75613,-96.38302,6,0.03,178,0.000168539
"OKLS_1203",35.92513,-96.71988,5.46,0.003,67,4.48e-05
"OKLS_1204",34.17387,-96.08742,6.74,0,156,0
"OKLS_1209",34.30293,-95.65807,8.35,0.122,103,0.001184466
"OKLS_1222",34.44337,-99.65264,4.47,0.328,187,0.001754011
"OKR9_0901",35.92582,-99.51525,3.61,0,29.5,0
"OKR9_0902",36.958,-97.42192,3.175,0,127.5,0
"OKR9_0903",33.86362,-97.00595,4.42,0,131,0
"OKR9_0904",35.39936,-95.79265,5.54,0,395,0
"OKR9_0905",35.53,-99.13021,8.81,0.233,246,0.000947154
"OKR9_0906",36.05503,-98.12901,2.83,0,52,0
"OKR9_0907",34.63573,-95.12159,5.29,0.002,69.1,2.89e-05
"OKR9_0908",35.92491,-97.86391,6.96,0.092,223,0.000412556
"OKR9_0909",34.59159,-99.02375,15.59,0,829,0
"OKR9_0911",34.22208,-96.70688,4.88,0,194,0
"OKR9_0912",33.91222,-95.54936,4.89,0,113,0
"OKR9_0913",35.81455,-98.70209,5.06,0,69,0
"OKRF_0001",34.24831,-96.72079,4.44,0.006,69,8.7e-05
"OKRF_0002",35.69016,-95.16564,3.43,0.003,85,3.53e-05
"OKRF_0003",36.18365,-98.92051,6.15,0.017,102,0.000166667
"OKRF_0004",36.24905,-95.73396,3.95,0.081,80,0.0010125
"OKRF_0005",35.77732,-96.32553,2.83,0.008,31,0.000258065
"OKRF_0008",34.73312,-97.21169,5.89,0.048,90,0.000533333
"OKRF_0101",35.28665,-95.26315,7.82,0.042,202,0.000207921
"OKRM_1001",33.78372,-96.17145,4.12,0.03,115,0.00026087
"OKRM_1002",35.96767,-97.12551,4.9,0,218,0
"OKRM_1004",33.87907,-95.91292,3.81,0,95,0
"OKRM_1006",36.58577,-97.0339,3.53,0.512,176,0.002909091
"OKRM_1008",34.22702,-95.49317,4.73,0,73,0
"OKRM_1020",33.87103,-95.43251,4.85,0,143,0
"OKRM_1021",35.02582,-97.35414,6.52,0.001,718,1.39e-06
"OKRM_1022",36.95483,-96.93872,3.15,0.898,594,0.001511785
"OKRM_1026",34.20331,-99.11783,4.04,0,110,0
"OKRO_1086",34.19471,-95.84755,7.56,0.003,93,3.23e-05
"OKRO_1087",34.85247,-94.61724,3.42,0.044,41.8,0.001052632
"OKRO_1088",35.68552,-96.41488,5.21,0.026,223,0.000116592
"OKRO_1089",34.88904,-99.37742,10.82,0,83,0
"OKRO_1092",35.56492,-97.94991,6.36,0,242,0
"OKRO_1102",34.09644,-95.89402,5.67,0.223,168,0.001327381
"OKRO_1103",34.1366,-94.68233,3.11,0.157,19,0.008263158
"OKS9_0931",34.83934,-98.306,14.74,0.007,1082,6.47e-06
"OKS9_0932",35.74931,-97.13433,5.58,0.022,71,0.00026506
"OKS9_0933",36.95135,-95.03539,16.89,0.459,635,0.000722835
"OKS9_0934",35.71769,-96.37698,5.04,0.003,45,6.67e-05
"OKS9_0935",35.54539,-99.72271,2.77,1.887,111,0.017
"OKS9_0936",35.96545,-96.36807,6.98,0.01,51,0.000196078
"OKS9_0937",34.27513,-97.19231,3.59,0.003,54,5.56e-05
"OKS9_0938",34.53126,-94.71442,0.87,0.108,24,0.0045
"OKS9_0939",34.34592,-96.69948,0.89,0.332,56,0.005928571
"OKS9_0941",35.75565,-96.21008,9.335,0.01,98.5,0.000121594
"OKSS_1403",34.36535,-94.46714,2.21,0,23,0
"OKSS_1405",35.98696,-94.91589,0.72,1.332,65,0.020492308
"OKSS_1429",34.54844,-95.89648,1.42,0.001,42,2.38e-05
"OKSS_1430",35.46899,-94.95436,1.82,0.004,40,1e-04
"OKSS_1431",36.76012,-96.28956,6.95,0.008,47,0.000170213
"OKSS_1444",34.85096,-97.91055,4.42,0.129,238,0.000542017
"ORLS_1093",45.56444,-123.5731,0.64,0.162,46,0.003521739
"ORLS_1095",45.2628,-118.3998,1.6,0.005,76,6.58e-05
"ORLS_1096",42.04489,-118.4328,3.21,0.032,210,0.000152381
"ORLS_1097",44.79838,-122.4811,0.49,0.006,26,0.000230769
"ORLS_1104",45.8587,-117.6355,1.78,0.027,133,0.000203008
"ORLS_1109",45.74761,-123.4891,0.64,0.191,31,0.00616129
"ORLS_1110",43.50132,-121.7753,1.11,0.001,33,3.03e-05
"ORR9_0901",43.99127,-123.6643,1.92,0.006,43,0.000139535
"ORR9_0902",45.39535,-122.1494,0.57,0.011,100,0.00011
"ORR9_0903",44.16795,-122.2497,0.36,0,106,0
"ORR9_0904",42.41324,-123.158,2.14,0.253,164,0.001542683
"ORR9_0905",44.49071,-122.8137,0.86,0.006,27.5,0.000212865
"ORR9_0906",44.37292,-123.8363,1.29,0.196,46,0.00426087
"ORR9_0907",45.16978,-120.4823,2.41,0.001,87,1.15e-05
"ORR9_0908",43.31057,-123.2115,0.78,0.004,92,4.35e-05
"ORR9_0909",45.57558,-116.4875,2,0.706,88,0.008022727
"ORR9_0910",44.24753,-120.8595,4.23,0.027,139,0.000194245
"ORR9_0911",44.06547,-123.1063,1,0.005,62,8.06e-05
"ORR9_0912",45.48478,-122.9599,1.68,0.2355,118.5,0.001961466
"ORR9_0913",42.46206,-121.4688,1.43,0,81,0
"ORR9_0914",43.77084,-118.049,3.65,0.018,278,6.47e-05
"ORRF_0101",45.93158,-123.1639,2.64,0.011,80,0.0001375
"ORRF_0102",45.27724,-123.7643,1.42,0.2,45,0.004444444
"ORRF_0104",43.74315,-122.5027,0.83,0.002,66,3.03e-05
"ORRF_0105",43.96473,-122.9824,1.44,0.022,49,0.00044898
