PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,LAB,SAMPLE_TYPE,MATRIX,BATCH_ID,ANALYTE,SAM_CODE,RESULT,RESULT_UNITS,MDL,RL,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,LAB_SAMPLE_ID,LAB_COMMENT
4/9/2021,2010629,NLA17_CO-10050,30-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,5.34,MG/L,0.008,0.2,,01-Aug-17,14-Aug-17,15,,
4/9/2021,2010496,NLA17_CO-10051,13-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170802.1,DOC,REGULAR,1.3,MG/L,0.008,0.2,,15-Jul-17,02-Aug-17,20,,
4/9/2021,2010498,NLA17_CO-10053,16-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170802.1,DOC,REGULAR,5.68,MG/L,0.008,0.2,,18-Jul-17,02-Aug-17,17,,
4/9/2021,2010565,NLA17_CO-10055,24-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,6.72,MG/L,0.008,0.2,,25-Jul-17,09-Aug-17,16,,
4/9/2021,2011233,NLA17_CO-10057,30-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170822.1,DOC,REGULAR,7.3,MG/L,0.008,0.2,,01-Aug-17,22-Aug-17,23,,
4/9/2021,2010722,NLA17_CO-10058,11-Aug-17,1,NLA,CO,WRS,CHEM,WATER,170830.1,DOC,REGULAR,3.39,MG/L,0.008,0.2,,12-Aug-17,30-Aug-17,19,,
4/9/2021,2010523,NLA17_CO-HP002,18-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170804.1,DOC,REGULAR,1.86,MG/L,0.008,0.2,,20-Jul-17,04-Aug-17,17,,
4/9/2021,2010861,NLA17_CO-HP003,06-Sep-17,1,NLA,CO,WRS,CHEM,WATER,170918.1,DOC,REGULAR,0.91,MG/L,0.008,0.2,,07-Sep-17,18-Sep-17,12,,
4/9/2021,2010341,NLA17_CT-10001,22-Jun-17,1,NLA,CT,WRS,CHEM,WATER,170703.1,DOC,REGULAR,6.08,MG/L,0.008,0.2,,23-Jun-17,03-Jul-17,11,,
4/9/2021,2010916,NLA17_CT-10001,14-Sep-17,2,NLA,CT,WRS,CHEM,WATER,170925.1,DOC,REGULAR,5.75,MG/L,0.008,0.2,,15-Sep-17,25-Sep-17,11,,
4/9/2021,2010774,NLA17_CT-10002,17-Aug-17,1,NLA,CT,WRS,CHEM,WATER,170906.1,DOC,REGULAR,1.78,MG/L,0.008,0.2,,18-Aug-17,06-Sep-17,20,,
4/9/2021,2010349,NLA17_CT-10003,26-Jun-17,1,NLA,CT,WRS,CHEM,WATER,170705.1,DOC,REGULAR,2.46,MG/L,0.008,0.2,,27-Jun-17,05-Jul-17,9,,
4/9/2021,2010727,NLA17_CT-10004,14-Aug-17,1,NLA,CT,WRS,CHEM,WATER,170830.1,DOC,REGULAR,3.67,MG/L,0.008,0.2,,15-Aug-17,30-Aug-17,16,,
4/9/2021,2010234,NLA17_CT-10005,13-Jun-17,1,NLA,CT,WRS,CHEM,WATER,170623.1,DOC,REGULAR,3.18,MG/L,0.008,0.2,,14-Jun-17,23-Jun-17,10,,
4/9/2021,2010841,NLA17_CT-10005,31-Aug-17,2,NLA,CT,WRS,CHEM,WATER,170913.1,DOC,REGULAR,3.23,MG/L,0.008,0.2,,01-Sep-17,13-Sep-17,13,,
4/9/2021,2010582,NLA17_CT-10006,25-Jul-17,1,NLA,CT,WRS,CHEM,WATER,170811.1,DOC,REGULAR,3.24,MG/L,0.008,0.2,,27-Jul-17,11-Aug-17,17,,
4/9/2021,2010787,NLA17_CT-10010,22-Aug-17,1,NLA,CT,WRS,CHEM,WATER,170906.1,DOC,REGULAR,3.22,MG/L,0.008,0.2,,24-Aug-17,06-Sep-17,15,,
4/9/2021,2010857,NLA17_CT-10019,06-Sep-17,1,NLA,CT,WRS,CHEM,WATER,170918.1,DOC,REGULAR,7.66,MG/L,0.008,0.2,,07-Sep-17,18-Sep-17,12,,
4/9/2021,2010412,NLA17_CT-10021,06-Jul-17,1,NLA,CT,WRS,CHEM,WATER,170724.1,DOC,REGULAR,3.5,MG/L,0.008,0.2,,07-Jul-17,24-Jul-17,18,,
4/9/2021,2010457,NLA17_CT-10023,12-Jul-17,1,NLA,CT,WRS,CHEM,WATER,180321.1,DOC,REGULAR,3.3,MG/L,0.008,0.2,H,13-Jul-17,21-Aug-18,405,,sample 1710398 accidently filtered as 1710399.  1710399 splits renamed 1710398d (lab duplicate) and 1710399 filtered 3/12/18
4/9/2021,2010342,NLA17_CT-HP001,21-Jun-17,1,NLA,CT,WRS,CHEM,WATER,170703.1,DOC,REGULAR,4.41,MG/L,0.008,0.2,,23-Jun-17,03-Jul-17,12,,
4/9/2021,2010284,NLA17_DE-10001,19-Jun-17,1,NLA,DE,WRS,CHEM,WATER,170630.1,DOC,REGULAR,4.49,MG/L,0.008,0.2,,21-Jun-17,30-Jun-17,11,,
4/9/2021,2010729,NLA17_DE-10001,14-Aug-17,2,NLA,DE,WRS,CHEM,WATER,170901.1,DOC,REGULAR,4.36,MG/L,0.008,0.2,,16-Aug-17,01-Sep-17,18,,
4/9/2021,2011150,NLA17_DE-10002,18-Jul-17,1,NLA,DE,WRS,CHEM,WATER,170804.1,DOC,REGULAR,2.61,MG/L,0.008,0.2,,20-Jul-17,04-Aug-17,17,,
4/9/2021,2010418,NLA17_DE-10003,05-Jul-17,1,NLA,DE,WRS,CHEM,WATER,170724.1,DOC,REGULAR,4.12,MG/L,0.008,0.2,,07-Jul-17,24-Jul-17,19,,
4/9/2021,2010363,NLA17_DE-10004,27-Jun-17,1,NLA,DE,WRS,CHEM,WATER,170710.1,DOC,REGULAR,6.73,MG/L,0.008,0.2,,29-Jun-17,10-Jul-17,13,,
4/9/2021,2010886,NLA17_DE-10004,11-Sep-17,2,NLA,DE,WRS,CHEM,WATER,170920.1,DOC,REGULAR,8.39,MG/L,0.008,0.2,,12-Sep-17,20-Sep-17,9,,
4/9/2021,2010252,NLA17_DE-10005,14-Jun-17,1,NLA,DE,WRS,CHEM,WATER,170626.1,DOC,REGULAR,3.31,MG/L,0.008,0.2,,16-Jun-17,26-Jun-17,12,,
4/9/2021,2010427,NLA17_DE-10006,10-Jul-17,1,NLA,DE,WRS,CHEM,WATER,170728.1,DOC,REGULAR,7.3,MG/L,0.008,0.2,,12-Jul-17,28-Jul-17,18,,
